temperature,pressure,wind_speed,wind_direction,Power generated by system | (kW)
7.862,0.977909,7.786,255,21879.3
7.585,0.977694,7.454,296,19467.8
5.997,0.977712,8.605,352,29922.7
4.236,0.977955,9.714,347,41144.4
2.607,0.97837,8.588,358,30033.1
1.511,0.978691,9.253,357,36924.9
0.301,0.978879,10.16,353,47156.5
-0.865,0.97924,9.149,347,36443.4
-2.017,0.979912,7.991,342,24389.3
-2.784,0.980364,7.482,341,20121.3
-3.169,0.980586,6.841,332,14377.9
-3.01,0.981046,6.584,329,12642.8
-2.167,0.981399,7.269,328,18118.4
-1.241,0.981801,7.634,326,21260.5
-0.601,0.981858,8.252,316,27279.8
-0.236,0.982007,8.629,312,30883.5
0.358,0.981967,8.805,304,32689
0.591,0.982064,9.935,300,44346.8
0.267,0.982451,11.144,300,56257.9
-0.767,0.983164,11.175,305,56736.9
-1.915,0.983954,9.44,307,39188
-3.123,0.984719,11.334,307,58369.7
-4.082,0.985441,9.428,309,39483.8
-4.619,0.985918,9.626,318,41796.2
-5.042,0.986477,8.025,323,25332.5
-5.396,0.986872,6.956,323,16138.1
-5.769,0.986927,6.761,337,14083.2
-6.125,0.987295,6.35,338,11727.8
-6.408,0.98778,5.478,345,6769.95
-6.739,0.988168,4.593,351,3140.3
-7.042,0.988467,3.87,351,1203.79
-7.26,0.988609,2.712,356,0
-7.442,0.988915,1.891,1,0
-7.631,0.989219,0.813,341,0
-7.804,0.989489,0.778,248,0
-7.193,0.989708,1.169,222,0
-5.715,0.989938,1.827,195,0
-4.272,0.989751,2.44,200,0
-2.669,0.989079,2.927,206,0
-1.01,0.988384,3.431,215,0
0.425,0.987821,3.946,219,1325.69
1.677,0.987209,4.446,220,2608.45
2.495,0.986567,4.836,220,3826.92
2.599,0.986014,5.441,220,6337.98
-0.541,0.985662,6.296,215,11362.7
-2.437,0.985587,7.816,218,23178.7
-1.545,0.985689,8.693,223,31882
-1.643,0.985845,8.762,229,32636.3
-1.996,0.985891,8.674,232,31604.2
-2.412,0.985772,8.825,228,33470.3
-2.334,0.985378,8.895,225,34275.1
-2.496,0.985277,8.547,221,30299
-2.505,0.985241,8.692,223,31969.1
-2.501,0.985279,7.944,229,24490.4
-2.462,0.985165,7.219,236,18275.6
